Code reference,Code link
UD.GDC.AD.Exercises pack,https://github.com/udacity/ud851-Exercises/archive/student.zip
UD.GDC.AD.Sunshine pack,https://github.com/udacity/ud851-Sunshine/archive/student.zip
UD.GDC.AD.T01.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson01-Favorite-Toys/T01.01-Solution-CreateLayout
UD.GDC.AD.T01.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson01-Favorite-Toys/T01.02-Solution-DisplayToyList
UD.GDC.AD.T01.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson01-Favorite-Toys/T01.03-Solution-AddScrolling
UD.GDC.AD.S01.01,https://github.com/udacity/ud851-Sunshine/tree/student/S01.01-Solution-CreateLayout
UD.GDC.AD.S01.02,https://github.com/udacity/ud851-Sunshine/tree/student/S01.02-Solution-AddWeatherList
UD.GDC.AD.T02.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.01-Solution-CreateLayout
UD.GDC.AD.T02.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.02-Solution-AddMenu
UD.GDC.AD.T02.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.03-Solution-DisplayUrl
UD.GDC.AD.T02.04,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.04-Solution-ConnectingToTheInternet
UD.GDC.AD.T02.05,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.05-Solution-CreateAsyncTask
UD.GDC.AD.T02.06,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.06-Solution-AddPolish
UD.GDC.AD.S02.01,https://github.com/udacity/ud851-Sunshine/tree/student/S02.01-Solution-Networking
UD.GDC.AD.S02.02,https://github.com/udacity/ud851-Sunshine/tree/student/S02.02-Exercise-Menus
UD.GDC.AD.S02.03,https://github.com/udacity/ud851-Sunshine/tree/student/S02.03-Exercise-Polish
UD.GDC.AD.T03.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.01-Solution-RecyclerViewLayout
UD.GDC.AD.T03.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.02-Solution-ViewHolder
UD.GDC.AD.T03.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.03-Solution-RecyclerViewAdapter
UD.GDC.AD.T03.04,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.04-Solution-WiringUpRecyclerView
UD.GDC.AD.T03.05,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.05-Solution-GoingGreen
UD.GDC.AD.T03.06,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.06-Solution-RefreshMenuButton
UD.GDC.AD.T03.07,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.07-Solution-RecyclerViewClickHandling
UD.GDC.AD.S03.01,https://github.com/udacity/ud851-Sunshine/tree/student/S03.01-Solution-RecyclerView
UD.GDC.AD.S03.02,https://github.com/udacity/ud851-Sunshine/tree/student/S03.02-Solution-RecyclerViewClickHandling
UD.GDC.AD.T04a.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson04a-Starting-New-Activities/T04a.01-Solution-AddNewActivity
UD.GDC.AD.T04a.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson04a-Starting-New-Activities/T04a.02-Solution-StartNewActivity
UD.GDC.AD.T04a.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson04a-Starting-New-Activities/T04a.03-Solution-PassingDataBetweenActivities
UD.GDC.AD.T04b.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson04b-Webpages-Maps-and-Sharing/T04b.01-Solution-OpenWebpage
UD.GDC.AD.T04b.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson04b-Webpages-Maps-and-Sharing/T04b.02-Solution-OpenMap
UD.GDC.AD.T04b.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson04b-Webpages-Maps-and-Sharing/T04b.03-Solution-ShareText
UD.GDC.AD.S04.01,https://github.com/udacity/ud851-Sunshine/tree/student/S04.01-Solution-LaunchNewActivity
UD.GDC.AD.S04.02,https://github.com/udacity/ud851-Sunshine/tree/student/S04.02-Solution-DisplayDayForecast
UD.GDC.AD.S04.03,https://github.com/udacity/ud851-Sunshine/tree/student/S04.03-Solution-AddMapAndSharing
UD.GDC.AD.T05a.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson05a-Android-Lifecycle/T05a.01-Solution-LogLifecycle
UD.GDC.AD.T05a.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson05a-Android-Lifecycle/T05a.02-Solution-PersistData
UD.GDC.AD.T05a.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson05a-Android-Lifecycle/T05a.03-Solution-FixLifecycleDisplayBug
UD.GDC.AD.T05b.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson05b-Smarter-GitHub-Repo-Search/T05b.01-Solution-SaveResults
UD.GDC.AD.T05b.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson05b-Smarter-GitHub-Repo-Search/T05b.02-Solution-AddAsyncTaskLoader
UD.GDC.AD.T05b.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson05b-Smarter-GitHub-Repo-Search/T05b.03-Solution-PolishAsyncTask
UD.GDC.AD.S05.01,https://github.com/udacity/ud851-Sunshine/tree/student/S05.01-Solution-AsyncTaskLoader
UD.GDC.AD.T06.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.01-Solution-SetupTheActivity
UD.GDC.AD.T06.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.02-Solution-MakeAPreferenceFragment
UD.GDC.AD.T06.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.03-Solution-ReadingFromSharedPreferences
UD.GDC.AD.T06.04,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.04-Solution-UseResources
UD.GDC.AD.T06.05,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.05-Solution-PreferenceChangeListener
UD.GDC.AD.T06.06,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.06-Solution-AddTwoMoreCheckboxes
UD.GDC.AD.T06.07,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference
UD.GDC.AD.T06.08,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.08-Solution-PreferenceSummary
UD.GDC.AD.T06.09,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.09-Solution-EditTextPreference
UD.GDC.AD.T06.10,https://github.com/udacity/ud851-Exercises/tree/student/Lesson06-Visualizer-Preferences/T06.10-Solution-EditTextPreferenceConstraints
UD.GDC.AD.S06.01,https://github.com/udacity/ud851-Sunshine/tree/student/S06.01-Solution-LaunchSettingsActivity
UD.GDC.AD.S06.02,https://github.com/udacity/ud851-Sunshine/tree/student/S06.02-Solution-SettingsFragment
UD.GDC.AD.S06.03,https://github.com/udacity/ud851-Sunshine/tree/student/S06.03-Solution-PolishingPreferences
UD.GDC.AD.T07.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson07-Waitlist/T07.01-Solution-CreateAContract
UD.GDC.AD.T07.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson07-Waitlist/T07.02-Solution-CreateTheDatabase
UD.GDC.AD.T07.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson07-Waitlist/T07.03-Solution-GetAllTheData
