Code reference,Code link,Source
UD.GDC.AD.Exercises pack,https://github.com/udacity/ud851-Exercises/archive/student.zip,COURSE
UD.GDC.AD.Sunshine pack,https://github.com/udacity/ud851-Sunshine/archive/student.zip,COURSE
UD.GDC.AD.T01.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson01-Favorite-Toys/T01.01-Solution-CreateLayout,COURSE
UD.GDC.AD.T01.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson01-Favorite-Toys/T01.02-Solution-DisplayToyList,COURSE
UD.GDC.AD.T01.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson01-Favorite-Toys/T01.03-Solution-AddScrolling,COURSE
UD.GDC.AD.S01.01,https://github.com/udacity/ud851-Sunshine/tree/student/S01.01-Solution-CreateLayout,COURSE
UD.GDC.AD.S01.02,https://github.com/udacity/ud851-Sunshine/tree/student/S01.02-Solution-AddWeatherList,COURSE
UD.GDC.AD.T02.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.01-Solution-CreateLayout,COURSE
UD.GDC.AD.T02.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.02-Solution-AddMenu,COURSE
UD.GDC.AD.T02.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.03-Solution-DisplayUrl,COURSE
UD.GDC.AD.T02.04,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.04-Solution-ConnectingToTheInternet,COURSE
UD.GDC.AD.T02.05,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.05-Solution-CreateAsyncTask,COURSE
UD.GDC.AD.T02.06,https://github.com/udacity/ud851-Exercises/tree/student/Lesson02-GitHub-Repo-Search/T02.06-Solution-AddPolish,COURSE
UD.GDC.AD.S02.01,https://github.com/udacity/ud851-Sunshine/tree/student/S02.01-Solution-Networking,COURSE
UD.GDC.AD.S02.02,https://github.com/udacity/ud851-Sunshine/tree/student/S02.02-Exercise-Menus,COURSE
UD.GDC.AD.S02.03,https://github.com/udacity/ud851-Sunshine/tree/student/S02.03-Exercise-Polish,COURSE
UD.GDC.AD.T03.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.01-Solution-RecyclerViewLayout,COURSE
UD.GDC.AD.T03.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.02-Solution-ViewHolder,COURSE
UD.GDC.AD.T03.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.03-Solution-RecyclerViewAdapter,COURSE
UD.GDC.AD.T03.04,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.04-Solution-WiringUpRecyclerView,COURSE
UD.GDC.AD.T03.05,https://github.com/udacity/ud851-Exercises/tree/student/Lesson03-Green-Recycler-View/T03.05-Solution-GoingGreen,COURSE
