Keyword,Type,Lesson,Relevant Code,Source
android studio,lesson,UD.GDC.AD.2.4,N/A,COURSE
gitub,lesson,UD.GDC.AD.2.5,N/A,COURSE
android studio,lesson,UD.GDC.AD.2.7,N/A,COURSE
create project,lesson,UD.GDC.AD.2.7,N/A,COURSE
new project,lesson,UD.GDC.AD.2.7,N/A,COURSE
min version,lesson,UD.GDC.AD.2.8,N/A,COURSE
target version,lesson,UD.GDC.AD.2.8,N/A,COURSE
api,lesson,UD.GDC.AD.2.8,N/A,COURSE
emulator,lesson,UD.GDC.AD.2.10,N/A,COURSE
gradle,lesson,UD.GDC.AD.2.11,N/A,COURSE
command line,lesson,UD.GDC.AD.2.11,N/A,COURSE
adb (android debug bridge),lesson,UD.GDC.AD.2.11,N/A,COURSE
activity,lesson,UD.GDC.AD.2.12,N/A,COURSE
manifest,lesson,UD.GDC.AD.2.12,N/A,COURSE
launcher,lesson,UD.GDC.AD.2.12,N/A,COURSE
main,lesson,UD.GDC.AD.2.12,N/A,COURSE
xml,lesson,UD.GDC.AD.2.14,N/A,COURSE
UI (user interface),lesson,UD.GDC.AD.2.14,N/A,COURSE
container views,lesson,UD.GDC.AD.2.14,N/A,COURSE
view properties,lesson,UD.GDC.AD.2.14,N/A,COURSE
R class,java,UD.GDC.AD.2.14,N/A,COURSE
setContentView,java,UD.GDC.AD.2.14,N/A,COURSE
inflate,java,UD.GDC.AD.2.14,N/A,COURSE
FrameLayout  ,resource xml,UD.GDC.AD.2.15;UD.GDC.AD.2.22,UD.GDC.AD.T01.01;UD.GDC.AD.S01.01,COURSE
padding  ,resource xml,UD.GDC.AD.2.15;UD.GDC.AD.2.22,UD.GDC.AD.T01.01;UD.GDC.AD.S01.01,COURSE
text size  ,resource xml,UD.GDC.AD.2.15;UD.GDC.AD.2.22,UD.GDC.AD.T01.01;UD.GDC.AD.S01.01,COURSE
id  ,resource xml,UD.GDC.AD.2.16;UD.GDC.AD.2.22,UD.GDC.AD.T01.02;UD.GDC.AD.S01.01;UD.GDC.AD.S01.02,COURSE
append string to TextView  ,java,UD.GDC.AD.2.16;UD.GDC.AD.2.22,UD.GDC.AD.T01.02;UD.GDC.AD.S01.01;UD.GDC.AD.S01.02,COURSE
ScrollView  ,resource xml,UD.GDC.AD.2.17,UD.GDC.AD.T01.03;UD.GDC.AD.S01.01,COURSE
ConstraintLayout  ,resource xml,UD.GDC.AD.2.18,N/A,COURSE
choosing a layout in android studio layout editor,lesson,UD.GDC.AD.2.19,N/A,COURSE
reference to view  ,java,UD.GDC.AD.2.24,UD.GDC.AD.S01.02,COURSE
findByViewId,java,UD.GDC.AD.2.24,UD.GDC.AD.S01.02,COURSE
intro to logging levels,lesson,UD.GDC.AD.3.2,N/A,COURSE
intro to log syntax,java,UD.GDC.AD.3.2,N/A,COURSE
LinearLayout  ,resource xml,UD.GDC.AD.3.4,UD.GDC.AD.T02.01,COURSE
orientation  ,resource xml,UD.GDC.AD.3.4,UD.GDC.AD.T02.01,COURSE
xmkns:app  ,resource xml,UD.GDC.AD.3.4,UD.GDC.AD.T02.01,COURSE
text hint  ,resource xml,UD.GDC.AD.3.4,UD.GDC.AD.T02.01,COURSE
intro to res directory,lesson,UD.GDC.AD.3.5,N/A,COURSE
intro to resource types,lesson,UD.GDC.AD.3.5,N/A,COURSE
getString  ,java,UD.GDC.AD.3.5,N/A,COURSE
xliff:g  ,resource xml,UD.GDC.AD.3.5,N/A,COURSE
string  ,resource xml,UD.GDC.AD.3.5,N/A,COURSE
intro to android menu,lesson,UD.GDC.AD.3.6,N/A,COURSE
intro to Action Bar,lesson,UD.GDC.AD.3.6,N/A,COURSE
ActionBar onCreateOptionsMenu  ,java,UD.GDC.AD.3.7;UD.GDC.AD.3.23,UD.GDC.AD.T02.02;UD.GDC.AD.S02.02;UD.GDC.AD.T03.06,COURSE
ActionBar getMenuInflater  ,java,UD.GDC.AD.3.7;UD.GDC.AD.3.23,UD.GDC.AD.T02.02;UD.GDC.AD.S02.02;UD.GDC.AD.T03.06,COURSE
ActionBar onOptionsItemSelected  ,java,UD.GDC.AD.3.7;UD.GDC.AD.3.23,UD.GDC.AD.T02.02;UD.GDC.AD.S02.02;UD.GDC.AD.T03.06,COURSE
