Keyword,Type,Lesson,Relevant Code
android studio,lesson,UD.GDC.AD.2.4,N/A
gitub,lesson,UD.GDC.AD.2.5,N/A
android studio,lesson,UD.GDC.AD.2.7,N/A
create project,lesson,UD.GDC.AD.2.7,N/A
new project,lesson,UD.GDC.AD.2.7,N/A
min version,lesson,UD.GDC.AD.2.8,N/A
target version,lesson,UD.GDC.AD.2.8,N/A
api,lesson,UD.GDC.AD.2.8,N/A
emulator,lesson,UD.GDC.AD.2.10,N/A
gradle,lesson,UD.GDC.AD.2.11,N/A
command line,lesson,UD.GDC.AD.2.11,N/A
adb (android debug bridge),lesson,UD.GDC.AD.2.11,N/A
activity,lesson,UD.GDC.AD.2.12,N/A
manifest,lesson,UD.GDC.AD.2.12,N/A
launcher,lesson,UD.GDC.AD.2.12,N/A
main,lesson,UD.GDC.AD.2.12,N/A
xml,lesson,UD.GDC.AD.2.14,N/A
UI (user interface),lesson,UD.GDC.AD.2.14,N/A
container views,lesson,UD.GDC.AD.2.14,N/A
view properties,lesson,UD.GDC.AD.2.14,N/A
R class,java,UD.GDC.AD.2.14,N/A
setContentView,java,UD.GDC.AD.2.14,N/A
inflate,java,UD.GDC.AD.2.14,N/A
FrameLayout  ,resource xml,"UD.GDC.AD.2.15, UD.GDC.AD.2.22","UD.GDC.AD.T01.01, UD.GDC.AD.S01.01"
padding  ,resource xml,"UD.GDC.AD.2.15, UD.GDC.AD.2.22","UD.GDC.AD.T01.01, UD.GDC.AD.S01.01"
text size  ,resource xml,"UD.GDC.AD.2.15, UD.GDC.AD.2.22","UD.GDC.AD.T01.01, UD.GDC.AD.S01.01"
id  ,resource xml,"UD.GDC.AD.2.16, UD.GDC.AD.2.22","UD.GDC.AD.T01.02, UD.GDC.AD.S01.01, UD.GDC.AD.S01.02"
append string to TextView  ,java,"UD.GDC.AD.2.16, UD.GDC.AD.2.22","UD.GDC.AD.T01.02, UD.GDC.AD.S01.01, UD.GDC.AD.S01.02"
ScrollView  ,resource xml,UD.GDC.AD.2.17,"UD.GDC.AD.T01.03, UD.GDC.AD.S01.01"
ConstraintLayout  ,resource xml,UD.GDC.AD.2.18,N/A
choosing a layout in android studio layout editor,lesson,UD.GDC.AD.2.19,N/A
reference to view  ,java,UD.GDC.AD.2.24,UD.GDC.AD.S01.02
findByViewId,java,UD.GDC.AD.2.24,UD.GDC.AD.S01.02
intro to logging levels,lesson,UD.GDC.AD.3.2,N/A
intro to log syntax,java,UD.GDC.AD.3.2,N/A
LinearLayout  ,resource xml,UD.GDC.AD.3.4,UD.GDC.AD.T02.01
orientation  ,resource xml,UD.GDC.AD.3.4,UD.GDC.AD.T02.01
xmkns:app  ,resource xml,UD.GDC.AD.3.4,UD.GDC.AD.T02.01
text hint  ,resource xml,UD.GDC.AD.3.4,UD.GDC.AD.T02.01
intro to res directory,lesson,UD.GDC.AD.3.5,N/A
intro to resource types,lesson,UD.GDC.AD.3.5,N/A
getString  ,java,UD.GDC.AD.3.5,N/A
xliff:g  ,resource xml,UD.GDC.AD.3.5,N/A
string  ,resource xml,UD.GDC.AD.3.5,N/A
intro to android menu,lesson,UD.GDC.AD.3.6,N/A
intro to Action Bar,lesson,UD.GDC.AD.3.6,N/A
ActionBar onCreateOptionsMenu  ,java,"UD.GDC.AD.3.7, UD.GDC.AD.3.23","UD.GDC.AD.T02.02, UD.GDC.AD.S02.02, UD.GDC.AD.T03.06"
ActionBar getMenuInflater  ,java,"UD.GDC.AD.3.7, UD.GDC.AD.3.23","UD.GDC.AD.T02.02, UD.GDC.AD.S02.02, UD.GDC.AD.T03.06"
ActionBar onOptionsItemSelected  ,java,"UD.GDC.AD.3.7, UD.GDC.AD.3.23","UD.GDC.AD.T02.02, UD.GDC.AD.S02.02, UD.GDC.AD.T03.06"
ActionBar menu,resource xml,"UD.GDC.AD.3.7, UD.GDC.AD.3.23","UD.GDC.AD.T02.02, UD.GDC.AD.S02.02, UD.GDC.AD.T03.06"
ActionBar menu showAsAction ifRoom,resource xml,"UD.GDC.AD.3.7, UD.GDC.AD.3.23","UD.GDC.AD.T02.02, UD.GDC.AD.S02.02, UD.GDC.AD.T03.06"
ActionBar menu orderInCategory  ,resource xml,"UD.GDC.AD.3.7, UD.GDC.AD.3.23","UD.GDC.AD.T02.02, UD.GDC.AD.S02.02, UD.GDC.AD.T03.06"
buildUrl  ,java,"UD.GDC.AD.3.8, UD.GDC.AD.3.22","UD.GDC.AD.T02.03, UD.GDC.AD.S02.01"
